Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,area
South Korea,8136,9658,10111,10991,11615,12378,13520,15480,16409,14848,10458,12095,13801,12942,14102,15847,17830,22160,25177,27726,26072,24409,27572,30884,31660,33937,"""142"""
Laos,. .,. .,. .,. .,101,105,114,109,77.1,60.3,33.4,15.5,13.6,12.5,11.4,10.9,11.4,11.7,13.3,14.6,17.2,14,16.3,18.7,20,. .,"""142"""
Malaysia,856,1019,1125,1572,1767,1923,2121,2444,2421,2089,1159,1663,1533,1934,2238,2882,2823,3120,3266,3970,4412,3964,3854,4807,4695,4842,"""142"""
Mongolia,. .,. .,42.3,111,33.1,14.1,16.4,21.3,21.6,18.7,19.9,18,24.3,23.1,25.3,24.3,27.7,29.8,39.2,56.6,66.7,37.6,54.9,87.2,115,. .,"""142"""
Myanmar,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,"""142"""
Philippines,932,955,951,913,1079,1173,1392,1700,1879,1576,1226,1341,1303,1122,1199,1301,1243,1373,1607,2014,2271,2116,2438,2701,2899,3472,"""142"""
Singapore,1206,1410,1802,2023,2332,2481,2797,3673,4100,4457,4466,4493,4331,4309,4530,4724,5043,5464,5831,6519,7454,7535,8106,8921,9353,9759,"""142"""
Taiwan,7110,8142,8701,9304,10071,11653,11953,11470,11765,11325,9232,9569,8801,7982,7531,7473,7833,8011,7645,8157,8960,9123,9092,9998,10715,10530,"""142"""
Thailand,1806,1981,2321,2586,2972,3134,3561,3909,3988,3076,2042,1982,1827,1725,1813,1891,1867,1986,2446,3527,4458,4798,4971,5501,5478,5891,"""142"""
Timor Leste,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,3.3,8.2,17.1,23.7,23.7,36.5,26.4,20.5,29.8,29.2,"""142"""
Viet Nam,1306,459,512,428,333,298,431,. .,. .,. .,. .,. .,. .,. .,. .,842,915,1026,1287,1785,2138,2401,2672,2686,3361,3387,"""142"""
Afghanistan,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,96.1,114,112,125,213,228,250,576,877,740,1293,"""142"""
Bangladesh,287,327,322,330,370,407,473,536,552,589,606,637,640,610,589,622,666,669,717,824,890,1088,1413,1578,1600,1818,"""142"""
India,10889,10589,10537,8623,8083,8254,8880,9754,9905,11465,11921,13896,14288,14601,14753,16334,20238,23072,23952,28254,33002,38722,46090,49634,47214,47398,"""142"""
Nepal,35.8,36.3,37.9,35.4,37.6,37,39.3,39.8,39.5,42.6,42.3,47.5,51.4,64.7,85.4,103,131,159,157,170,187,210,255,285,255,258,"""142"""
Pakistan,2722,2580,2810,3067,3389,3309,3321,3666,3548,3320,3219,3081,2973,2842,3273,3723,4128,4587,4969,5343,5227,5275,5975,6955,7479,7641,"""142"""
Sri Lanka,165,126,187,277,327,355,437,764,767,699,733,631,822,675,572,542,619,644,791,1055,1511,1522,1532,1750,1533,1823,"""142"""
Australia,5858,6314,6710,7025,6890,6735,7465,7666,8203,7937,7108,7770,7274,7043,7947,9927,11995,13238,14240,17187,18634,18963,23221,26610,26158,23963,"""009"""
Fiji,24.7,29.1,30.5,32.5,30.5,32,33.7,34.7,32.9,31,22.6,23.8,32,32.8,30.9,37.3,46.9,43.1,54.1,75.6,53.6,51.3,50.5,54.8,57,54.2,"""009"""
New Zealand,858,807,796,745,656,653,738,863,932,889,729,730,646,600,653,853,1009,1117,1119,1353,1391,1339,1595,1727,1754,1833,"""009"""
Papua New Guinea,46.3,53.1,68.7,52.6,58.6,68.6,83.3,56.4,78.7,79.6,49.7,35.7,33.6,25.2,17,19.3,24.4,30.5,31.3,38.7,39.3,52,46.3,77.3,90.6,87.2,"""009"""
Albania,. .,. .,66,. .,33,39.3,49.7,50.9,45.7,29.8,33.6,42.8,45.4,53.2,58.6,76.1,101,110,141,195,256,249,190,197,184,167,"""150"""
Armenia,xxx,xxx,xxx,xxx,. .,9.8,. .,52.2,52.4,64.1,66.8,68.2,68.1,66.2,64.1,76.6,98.1,141,188,280,396,359,395,391,381,427,"""150"""
Austria,1714,1623,1973,1994,2140,2115,2228,2558,2458,2165,2160,2124,1926,1789,1882,2382,2679,2686,2640,3500,3747,3334,3219,3411,3188,3230,"""150"""
Azerbaijan,xxx,xxx,xxx,xxx,11.1,77.5,43.9,66.2,71.6,92.1,107,120,120,132,140,177,228,305,717,947,1607,1473,1476,3079,3245,3440,"""150"""
Belarus,xxx,xxx,xxx,xxx,. .,. .,. .,179,183,249,228,166,140,178,204,232,314,453,632,747,883,675,768,756,762,965,"""150"""
Belgium,4097,3881,4644,4625,4131,3746,3944,4449,4242,3684,3664,3599,3191,3036,3155,3876,4265,4229,4308,5078,6296,5619,5245,5502,5171,5264,"""150"""
Bosnia-Herzegovina,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,241,202,200,173,178,195,233,242,220,212,201,203,"""150"""
Bulgaria,xxx,xxx,xxx,xxx,256,283,242,311,214,244,320,357,351,406,456,569,651,699,751,1032,1038,963,894,829,808,838,"""150"""
Croatia,xxx,xxx,xxx,xxx,783,1169,1626,2061,1939,1797,1428,1036,660,630,734,710,731,799,849,979,1296,1129,1016,1106,955,957,"""150"""
Cyprus,244,245,411,418,630,268,298,299,448,534,484,290,282,328,243,289,338,376,388,405,454,471,478,480,415,455,"""150"""
Czech Republic,xxx,xxx,xxx,xxx,xxx,816,938,1065,1124,988,1166,1206,1157,1183,1494,1886,2042,2439,2450,2708,2919,2719,2498,2474,2221,2149,"""150"""
Czechoslovakia,. .,. .,2334,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"""150"""
Denmark,2320,2184,2650,2672,2838,2682,2719,3118,3086,2805,2846,2785,2393,2525,2694,3199,3579,3468,3897,4175,4788,4337,4504,4518,4422,4553,"""150"""
Estonia,. .,. .,. .,. .,5.4,13.1,25.1,36.3,41.5,53,59.9,73.8,78.3,93.8,122,171,205,266,315,444,506,435,332,389,437,479,"""150"""
Finland,1704,1767,2141,2201,2076,1615,1756,1909,2022,1947,1960,1654,1558,1479,1615,2264,2647,2744,2862,3014,3615,3599,3400,3751,3072,3262,"""150"""
France,36105,35317,42590,42703,45123,42591,44393,47768,46404,41308,40041,38897,33814,33277,36492,45917,53031,52917,54526,60565,66009,66869,61785,64633,60058,61228,"""150"""
Georgia,xxx,xxx,xxx,xxx,. .,. .,. .,. .,67.7,44,41.1,25.9,18.8,23.8,33.9,42.6,70.3,214,404,932,1090,604,454,469,457,443,"""150"""
German DR,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"""150"""
Germany,35097,33605,42320,39517,41965,37215,36330,41160,38989,33217,33146,32604,28150,27426,29404,35055,38025,38060,38099,42531,48081,47460,46258,48164,46488,48790,"""150"""
Greece,2750,2560,3193,3147,3623,3364,3587,4180,4613,4573,4824,5012,4564,4428,4746,5036,6270,7029,7609,8391,10574,10639,8164,7132,5917,5939,"""150"""
Hungary,1087,901,923,817,890,836,863,711,676,786,705,807,801,951,1084,1402,1533,1596,1410,1776,1868,1476,1351,1472,1322,1210,"""150"""
Iceland,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,22.5,19.9,19.5,17.4,. .,"""150"""
Ireland,398,384,603,600,654,585,633,702,751,765,742,742,695,768,811,965,1102,1145,1190,1372,1583,1415,1274,1301,1158,1197,"""150"""
Italy,19621,19927,23378,24336,25003,20565,20364,19376,23443,22724,23478,23694,22411,22006,24422,30242,34132,33531,33414,35944,41244,38293,36034,38149,33746,32657,"""150"""
Latvia,xxx,xxx,xxx,xxx,. .,17.8,33.9,43.6,38.1,38,42,56.6,70,86.9,147,189,229,272,368,481,582,364,260,297,263,299,"""150"""
Lithuania,xxx,xxx,xxx,xxx,. .,20.8,21.1,30.5,42.3,75.6,138,106,140,167,181,211,271,304,352,442,541,405,326,345,328,355,"""150"""
Luxembourg,86,76,96.7,108,123,108,126,142,141,134,143,141,128,160,154,199,235,244,247,286,292,276,331,307,299,305,"""150"""
"Macedonia, FYR",xxx,xxx,xxx,xxx,. .,. .,. .,. .,131,83.3,79,66.2,69.8,226,106,116,135,127,126,163,173,159,130,132,119,127,"""150"""
Malta,22.4,21.3,21.2,21.7,26.7,24.6,27.9,31.1,33.3,31.1,29.1,28,25.4,27.1,28.4,34.1,40.5,52.5,44.3,49,56,59.1,58.7,55.9,49.9,59.5,"""150"""
Moldova,xxx,xxx,xxx,xxx,. .,. .,. .,13.3,15.4,17.4,10.6,6,5.1,6,7,8.2,9.4,12,16.4,22.7,36.8,24.9,18.3,22.3,22.3,24.4,"""150"""
Montenegro,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,62.4,64.2,85.1,76.7,75.1,79.4,67.7,69.5,"""150"""
Netherlands,6729,6399,7421,7246,7904,7055,7137,8011,7829,6839,6836,7026,5972,6200,6744,8356,9381,9568,10220,11480,12375,12129,11221,11654,10596,10328,"""150"""
Norway,2895,2933,3395,3288,3804,3176,3403,3508,3537,3253,3325,3309,2922,2966,4066,4518,4887,4885,5012,5875,6371,6196,6499,7232,7143,7235,"""150"""
Poland,1719,1494,1541,1722,1882,2123,2252,2719,3083,3192,3491,3227,3146,3631,3776,4150,4779,5896,6619,8589,9351,7904,8791,9455,8986,9257,"""150"""
Portugal,1348,1457,1875,2115,2533,2192,2174,2670,2601,2389,2336,2406,2204,2325,2608,3110,3721,4039,4067,4366,4812,4949,4719,4907,4139,4784,"""150"""
Romania,2570,2547,1752,1373,834,724,938,983,874,1075,1254,955,936,986,1056,1250,1530,1976,2251,2608,3000,2225,2086,2380,2331,2521,"""150"""
Russia,246011,218760,219114,. .,4070,7766,13548,12741,15826,17577,7956,6469,9228,11683,13944,16974,20955,27337,34518,43535,56184,51533,58720,70238,81079,87837,"""150"""
Serbia,. .,. .,. .,. .,. .,. .,. .,. .,802,914,642,737,337,494,679,731,739,630,705,972,1112,974,872,987,854,921,"""150"""
Slovak Rep.,xxx,xxx,xxx,xxx,. .,267,300,630,642,500,398,327,342,394,440,625,711,823,911,1133,1402,1343,1130,1061,1016,994,"""150"""
Slovenia,xxx,xxx,xxx,xxx,281,230,238,335,330,292,301,275,222,271,327,417,493,514,609,693,829,799,772,666,543,545,"""150"""
Spain,7171,7800,9053,9115,9063,8251,7425,8651,8617,7671,7524,7556,7001,7134,7937,9691,11345,11824,14434,16724,18686,16939,14744,13990,13918,12765,"""150"""
Sweden,4918,5033,6169,6219,6419,5011,5154,5730,6203,5203,5132,5149,4861,4128,4355,5306,5515,5518,5577,6386,6025,5063,5886,6324,6239,6519,"""150"""
Switzerland,3276,3082,4056,4017,4138,3611,3899,4645,4239,3498,3494,3147,2800,2764,2882,3269,3504,3485,3329,3525,4098,4056,4115,4974,4591,5053,"""150"""
Turkey,2664,3374,5315,5671,6158,7075,5293,6606,7512,7792,8781,9952,9994,7216,9050,10278,10921,12081,13124,15088,16908,16150,17747,17181,18109,19085,"""150"""
United Kingdom,34304,33499,38944,42074,40775,34086,34494,34248,34491,35675,36868,36457,35255,35332,39673,46943,53970,55152,57483,65986,65615,57907,58099,60284,58500,57891,"""150"""
Ukraine,xxx,xxx,xxx,xxx,. .,152,919,1047,1465,2069,1405,942,1137,1089,1176,1428,1685,2405,2986,4096,4811,3347,3710,3922,4607,5338,"""150"""
Yugoslavia (former),,,,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"""150"""
Bahrain,186,197,216,237,252,251,256,273,289,290,296,327,322,335,398,464,479,486,539,589,659,762,776,878,953,1236,"""142"""
Egypt,5699,4482,2242,1722,1864,2031,2153,2347,2364,2509,2786,2910,3124,2985,2831,2384,2368,2659,2953,3307,3780,4017,4289,4287,4376,4255,"""002"""
Iran,5882,8614,10622,12571,14064,1196,1762,1900,2718,3550,4417,7407,12452,15385,3360,3860,5335,7213,8546,8239,7608,7946,9478,11007,10628,. .,"""142"""
Iraq,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,614,1120,1236,1942,2873,2968,3581,5905,6054,7896,"""142"""
Israel,7762,6656,7615,10628,8613,8920,8832,8567,9584,9924,9508,9270,9932,10318,10886,11416,11040,10754,11786,12661,14663,14185,14773,15510,15066,16032,"""142"""
Jordan,588,383,322,433,368,391,408,300,417,444,496,512,529,529,523,612,587,604,702,1032,1341,1404,1367,1385,1246,1196,"""142"""
Kuwait,1704,2076,8976,12937,6317,2980,3295,3693,3241,2455,2280,2286,2697,2686,2821,3131,3447,3509,3600,4119,4428,4206,4329,5393,5940,5815,"""142"""
Lebanon,39.3,. .,214,229,443,453,637,746,736,678,694,830,930,959,907,923,955,963,1009,1152,1169,1426,1585,1627,1757,1936,"""142"""
Oman,1532,1562,1931,1673,2023,1920,2027,2018,1916,1976,1758,1787,2100,2423,2488,2622,2974,3652,4030,4326,4617,4490,4895,6668,12334,9246,"""142"""
Qatar,983,848,791,896,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,761,785,772,888,1066,1562,2318,1948,1877,. .,. .,. .,"""142"""
Saudi Arabia,13355,12750,16355,16355,15360,16451,14280,13200,13340,18127,20862,18320,19964,21027,18502,18747,20910,25393,29581,35465,38223,41273,45245,48531,56498,66996,"""142"""
Syria,3467,1382,1529,2695,2772,1328,1605,958,995,1047,1096,1128,897,1023,1103,1436,1389,1450,1435,1599,1732,2182,2346,2495,. .,. .,"""142"""
UAE,. .,. .,. .,. .,. .,. .,. .,. .,. .,3336,4010,4233,5876,5798,5353,5834,6816,6603,7164,8460,11572,13836,17505,19182,19024,. .,"""142"""
Yemen,xxx,xxx,807,1028,1307,1535,2353,806,416,397,385,395,474,540,737,807,735,816,822,1050,1196,. .,. .,1164,1439,1416,"""142"""
"Yemen, North",832,800,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"""142"""
"Yemen, South",. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"""142"""
US Dollar GDP Deflator IMF,75.694,78.557,81.59,84.443,86.386,88.381,90.259,92.106,93.852,95.414,96.472,97.868,100,102.399,104.187,106.404,109.463,113,116.567,119.682,122.087,124.298,126.598,129.277,131.76,134.093,
