Year,Algeria,Libya,Morocco,Tunisia,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,Central African Rep.,Chad,Congo,Democratic Republic of Congo,Côte d’Ivoire,Djibouti,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,Togo,Uganda,Zambia,Zimbabwe,Belize,Costa Rica,Cuba,Dominican Rep.,El Salvador,Guatemala,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Trinidad & Tobago,Canada,USA,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Paraguay,Peru,Uruguay,Venezuela,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Brunei,Cambodia,China,Indonesia,Japan,North Korea,South Korea,Laos,Malaysia,Mongolia,Myanmar,Philippines,Singapore,Taiwan,Thailand,Timor Leste,Viet Nam,Afghanistan,Bangladesh,India,Nepal,Pakistan,Sri Lanka,Australia,Fiji,New Zealand,Papua New Guinea,Albania,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia-Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Czechoslovakia,Denmark,Estonia,Finland,France,Georgia,German DR,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,"Macedonia, FYR",Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovak Rep.,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,Ukraine,Yugoslavia (former),Bahrain,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,UAE,Yemen,"Yemen, North","Yemen, South",US Dollar GDP Deflator IMF
1988,1029,. .,917,233,. .,36.9,93.7,47,34.3,154,5.1,. .,. .,. .,. .,128,31.1,. .,xxx,615,. .,2.2,22.8,. .,. .,251,19.4,. .,32.9,20.2,48,43,4.7,63.8,xxx,. .,271,36.6,99.5,12.1,7.1,. .,4263,xxx,332,8.7,71,43.1,142,86.7,. .,3.1,0,. .,47.3,213,125,2,. .,. .,982,. .,103,. .,9897,293093,254,. .,5900,1029,799,198,8.4,. .,. .,260,. .,xxx,xxx,xxx,xxx,xxx,178,. .,. .,836,26200,. .,8136,. .,856,. .,. .,932,1206,7110,1806,. .,1306,. .,287,10889,35.8,2722,165,5858,24.7,858,46.3,. .,xxx,1714,xxx,xxx,4097,. .,xxx,xxx,244,xxx,. .,2320,. .,1704,36105,xxx,. .,35097,2750,1087,. .,398,19621,xxx,xxx,86,xxx,22.4,xxx,xxx,6729,2895,1719,1348,2570,246011,. .,xxx,xxx,7171,4918,3276,2664,34304,xxx,,186,5699,5882,. .,7762,588,1704,39.3,1532,983,13355,3467,. .,xxx,832,. .,61.982
1989,854,. .,991,234,. .,28.5,103,55.2,37.9,147,. .,. .,. .,. .,. .,130,31.1,. .,xxx,782,. .,2.7,22.6,. .,4.4,229,25.9,. .,30.2,22.8,46.1,38.9,6.3,79.1,xxx,. .,171,41.6,95.6,13,9.6,. .,4182,xxx,. .,9.6,105,41.9,140,168,. .,4.4,0,. .,53.5,240,129,2.2,. .,23.5,1153,. .,102,. .,10747,304085,1360,102,8725,978,881,189,4.6,74.8,81.5,298,. .,xxx,xxx,xxx,xxx,xxx,186,. .,11686,868,24787,. .,9658,. .,1019,. .,. .,955,1410,8142,1981,. .,459,. .,327,10589,36.3,2580,126,6314,29.1,807,53.1,. .,xxx,1623,xxx,xxx,3881,. .,xxx,xxx,245,xxx,. .,2184,. .,1767,35317,xxx,. .,33605,2560,901,. .,384,19927,xxx,xxx,76,xxx,21.3,xxx,xxx,6399,2933,1494,1457,2547,218760,. .,xxx,xxx,7800,5033,3082,3374,33499,xxx,,197,4482,8614,. .,6656,383,2076,. .,1562,848,12750,1382,. .,xxx,800,. .,64.392
1990,904,. .,1070,248,. .,32.8,156,69.8,39.6,181,. .,. .,. .,. .,. .,144,31.1,. .,xxx,785,. .,3.5,27.6,. .,. .,246,27.6,. .,37.9,24.3,52.2,40.2,9.2,84.6,198,. .,277,95.1,115,14.8,9,. .,4364,xxx,780,14.5,87.2,50.7,107,139,. .,4.8,0,. .,47.8,202,113,2.7,. .,27.5,1327,1143,73.1,. .,11414,306170,1933,137,24732,1031,890,202,3.6,89.4,23.9,328,. .,xxx,xxx,xxx,xxx,xxx,231,29.1,10244,995,24974,. .,10111,. .,1125,42.3,. .,951,1802,8701,2321,. .,512,. .,322,10537,37.9,2810,187,6710,30.5,796,68.7,66,xxx,1973,xxx,xxx,4644,. .,xxx,xxx,411,xxx,2334,2650,. .,2141,42590,xxx,xxx,42320,3193,923,. .,603,23378,xxx,xxx,96.7,xxx,21.2,xxx,xxx,7421,3395,1541,1875,1752,219114,. .,xxx,xxx,9053,6169,4056,5315,38944,xxx,,216,2242,10622,. .,7615,322,8976,214,1931,791,16355,1529,. .,807,xxx,xxx,66.773
1991,565,. .,1148,260,1033,. .,172,57.4,42.8,178,. .,21.6,. .,. .,. .,144,31.8,. .,xxx,529,. .,4,41.4,71.8,. .,192,25.8,. .,34.7,23.7,. .,39.4,10.5,71.8,145,. .,244,105,106,16.6,16.2,. .,3874,xxx,986,16,108,45.9,73.6,86.2,. .,4.7,0,. .,33.9,187,102,2.6,. .,22.7,1600,67.7,78.6,. .,11339,280292,2694,144,6697,1038,911,209,2,143,399,269,984,xxx,xxx,xxx,xxx,xxx,245,43.3,10012,1045,28645,. .,10991,. .,1572,111,. .,913,2023,9304,2586,. .,428,. .,330,8623,35.4,3067,277,7025,32.5,745,52.6,. .,xxx,1994,xxx,xxx,4625,. .,xxx,xxx,418,xxx,. .,2672,. .,2201,42703,xxx,xxx,39517,3147,817,. .,600,24336,xxx,xxx,108,xxx,21.7,xxx,xxx,7246,3288,1722,2115,1373,. .,. .,xxx,xxx,9115,6219,4017,5671,42074,xxx,,237,1722,12571,. .,10628,433,12937,229,1673,896,16355,2695,. .,1028,xxx,xxx,68.996
1992,1053,. .,1229,290,794,. .,178,58.6,39,184,3.6,23.2,. .,. .,. .,157,33.6,. .,xxx,255,. .,3.5,41.6,55.7,. .,156,24.1,. .,23.1,25.2,. .,39.4,11.4,59.6,125,. .,174,88.6,110,20.5,20.2,. .,3677,xxx,134,21,96.9,49.1,52.3,97.8,. .,5.3,0,. .,63.1,179,131,1.7,. .,33.6,2000,47.2,78.8,. .,10789,305141,3067,142,5943,1169,1102,211,3.6,142,640,367,993,. .,. .,. .,. .,. .,252,62.3,12494,1163,32927,. .,11615,101,1767,33.1,. .,1079,2332,10071,2972,. .,333,. .,370,8083,37.6,3389,327,6890,30.5,656,58.6,33,. .,2140,11.1,. .,4131,. .,256,783,630,xxx,. .,2838,5.4,2076,45123,. .,xxx,41965,3623,890,. .,654,25003,. .,. .,123,. .,26.7,. .,xxx,7904,3804,1882,2533,834,4070,. .,. .,281,9063,6419,4138,6158,40775,. .,xxx,252,1864,14064,. .,8613,368,6317,443,2023,. .,15360,2772,. .,1307,xxx,xxx,70.569
1993,1277,. .,1252,276,1774,. .,186,49.8,36.3,168,2.7,19.1,48.4,. .,. .,149,31.1,. .,108,164,. .,2.6,41,44,. .,106,21.8,. .,37.8,25.7,44.5,30.2,10.8,59.4,70.2,. .,289,89.4,120,12.9,23.3,. .,3254,xxx,189,23.7,58.7,50.1,62.6,51.1,. .,6.1,0,. .,96,166,123,1.6,. .,31.7,2327,40.2,95.2,5.4,10269,297637,3173,110,8450,1291,1529,276,4.4,108,677,419,1288,. .,. .,23.5,. .,. .,234,44.6,12704,1191,39514,. .,12378,105,1923,14.1,. .,1173,2481,11653,3134,. .,298,. .,407,8254,37,3309,355,6735,32,653,68.6,39.3,9.8,2115,77.5,. .,3746,. .,283,1169,268,816,xxx,2682,13.1,1615,42591,. .,xxx,37215,3364,836,. .,585,20565,17.8,20.8,108,. .,24.6,. .,xxx,7055,3176,2123,2192,724,7766,. .,267,230,8251,5011,3611,7075,34086,152,xxx,251,2031,1196,. .,8920,391,2980,453,1920,. .,16451,1328,. .,1535,xxx,xxx,72.248
1994,1335,. .,1365,297,. .,. .,170,25,41.9,94.5,3.4,10.7,27.6,. .,. .,84.1,30.7,2.4,79.8,149,. .,2.3,37.8,45.9,2,117,25.9,. .,27.6,17.1,29.9,29.5,11.9,72.9,57,17.5,320,40.5,66.1,11.9,26.5,. .,3479,xxx,165,25.8,58.4,25.4,104,62.9,. .,7.9,0,. .,101,159,140,1.6,. .,24.3,2889,35.4,101,20.5,9578,288059,3755,135,11012,1466,2005,291,5.5,120,787,450,929,107,28.7,14.2,79.6,86.9,262,107,10083,1380,44534,. .,13520,114,2121,16.4,. .,1392,2797,11953,3561,. .,431,. .,473,8880,39.3,3321,437,7465,33.7,738,83.3,49.7,. .,2228,43.9,. .,3944,. .,242,1626,298,938,xxx,2719,25.1,1756,44393,. .,xxx,36330,3587,863,. .,633,20364,33.9,21.1,126,. .,27.9,. .,xxx,7137,3403,2252,2174,938,13548,. .,300,238,7425,5154,3899,5293,34494,919,xxx,256,2153,1762,. .,8832,408,3295,637,2027,. .,14280,1605,. .,2353,xxx,xxx,73.785
1995,1235,. .,1438,343,234,. .,166,30.5,42.1,114,6.2,13,24.8,. .,. .,. .,29.6,3.4,125,122,. .,2.9,49.1,. .,2.2,149,34.4,. .,27.2,11,40.5,32,13.4,33.5,68.2,18.4,639,56.4,80.9,11.6,25,. .,3292,xxx,194,28.8,85.5,30.9,127,55.3,. .,8.1,0,. .,84.5,161,145,2.5,. .,33.7,1713,35.1,96.6,24.1,9177,278856,3802,141,14319,1828,2619,475,5.7,149,1001,524,1199,178,51.6,5.8,136,113,286,123,12525,1527,48889,. .,15480,109,2444,21.3,. .,1700,3673,11470,3909,. .,. .,. .,536,9754,39.8,3666,764,7666,34.7,863,56.4,50.9,52.2,2558,66.2,179,4449,. .,311,2061,299,1065,xxx,3118,36.3,1909,47768,. .,xxx,41160,4180,711,. .,702,19376,43.6,30.5,142,. .,31.1,13.3,xxx,8011,3508,2719,2670,983,12741,. .,630,335,8651,5730,4645,6606,34248,1047,xxx,273,2347,1900,. .,8567,300,3693,746,2018,. .,13200,958,. .,806,xxx,xxx,75.324
1996,1452,. .,1447,397,160,. .,141,30.7,50.9,117,4.3,12.2,30.7,. .,89.3,103,24.5,. .,152,126,. .,3.9,44.4,. .,1.9,171,28.3,. .,49.4,20.2,39.7,37.9,13,36,66.5,17.4,701,73.7,79.8,10.5,18.6,. .,2592,xxx,106,26.5,101,. .,135,37.8,. .,8,0,. .,107,161,130,0,. .,42.8,2064,31.5,101,. .,8616,271417,3379,147,14073,1904,4319,419,5.6,143,989,576,733,242,54.6,13.5,48.5,172,328,114,15022,1720,42550,. .,16409,77.1,2421,21.6,. .,1879,4100,11765,3988,. .,. .,. .,552,9905,39.5,3548,767,8203,32.9,932,78.7,45.7,52.4,2458,71.6,183,4242,. .,214,1939,448,1124,xxx,3086,41.5,2022,46404,67.7,xxx,38989,4613,676,. .,751,23443,38.1,42.3,141,131,33.3,15.4,xxx,7829,3537,3083,2601,874,15826,802,642,330,8617,6203,4239,7512,34491,1465,xxx,289,2364,2718,. .,9584,417,3241,736,1916,. .,13340,995,. .,416,xxx,xxx,76.699
1997,1752,1254,1401,358,457,. .,161,26.6,61.9,119,4.1,. .,20.6,. .,83.8,93.5,26.6,. .,92.8,225,. .,4.2,45.5,44.4,1.8,176,28.7,. .,52.5,26.4,40.3,41.6,9.8,42,83.7,17.3,819,77.3,70.8,11.4,9.5,. .,2414,xxx,97.7,25.7,119,. .,140,43.4,. .,9.4,0,. .,151,162,132,0,. .,55.1,2394,30.3,118,. .,7945,276324,3341,181,13934,2121,2989,499,. .,174,1190,575,1541,237,55,19.1,106,218,369,103,16044,1593,38835,. .,14848,60.3,2089,18.7,. .,1576,4457,11325,3076,. .,. .,. .,589,11465,42.6,3320,699,7937,31,889,79.6,29.8,64.1,2165,92.1,249,3684,. .,244,1797,534,988,xxx,2805,53,1947,41308,44,xxx,33217,4573,786,. .,765,22724,38,75.6,134,83.3,31.1,17.4,xxx,6839,3253,3192,2389,1075,17577,914,500,292,7671,5203,3498,7792,35675,2069,xxx,290,2509,3550,. .,9924,444,2455,678,1976,. .,18127,1047,3336,397,xxx,xxx,78.012
1998,1911,1436,1445,366,170,. .,181,32.5,58.7,137,4.5,. .,20,. .,26.6,. .,26.7,. .,263,459,. .,4,57.4,45,2.9,172,27.8,. .,50.4,14.5,41,25.6,8.5,49.3,78.9,22,1150,87.1,75.1,10.5,. .,. .,1906,xxx,260,25.7,134,. .,155,. .,. .,. .,0,. .,159,161,140,0,. .,47.6,2481,26.3,104,. .,7748,274278,3399,229,14351,2112,3390,549,. .,145,1155,573,1451,243,43.8,22.6,87.5,. .,294,83.3,18094,614,36599,. .,10458,33.4,1159,19.9,. .,1226,4466,9232,2042,. .,. .,. .,606,11921,42.3,3219,733,7108,22.6,729,49.7,33.6,66.8,2160,107,228,3664,. .,320,1428,484,1166,xxx,2846,59.9,1960,40041,41.1,xxx,33146,4824,705,. .,742,23478,42,138,143,79,29.1,10.6,xxx,6836,3325,3491,2336,1254,7956,642,398,301,7524,5132,3494,8781,36868,1405,xxx,296,2786,4417,. .,9508,496,2280,694,1758,. .,20862,1096,4010,385,xxx,xxx,78.859
1999,1826,1163,1180,357,1067,17.8,170,34.4,50.6,145,5,. .,26,. .,149,. .,26.8,. .,273,704,. .,3.5,59.2,55.2,. .,152,34.1,. .,45,14.4,43.9,32,9,56.5,106,23.6,492,80.9,78.3,11.1,. .,. .,1738,xxx,430,25.9,128,. .,160,56.1,. .,6,0,. .,175,164,124,0,. .,45.1,2908,26.9,112,. .,8211,280969,3462,177,9861,2043,3247,296,. .,121,1004,574,1408,144,32.5,15.1,112,250,258,88.2,20560,813,43160,. .,12095,15.5,1663,18,. .,1341,4493,9569,1982,. .,. .,. .,637,13896,47.5,3081,631,7770,23.8,730,35.7,42.8,68.2,2124,120,166,3599,. .,357,1036,290,1206,xxx,2785,73.8,1654,38897,25.9,xxx,32604,5012,807,. .,742,23694,56.6,106,141,66.2,28,6,xxx,7026,3309,3227,2406,955,6469,737,327,275,7556,5149,3147,9952,36457,942,xxx,327,2910,7407,. .,9270,512,2286,830,1787,. .,18320,1128,4233,395,xxx,xxx,80.066
